Asset,Class,Notes,Std_Daily(%),Std_Weekly(%),Std_Monthly(%),Std_3Month(%),MeanHL_Daily(%),MeanHL_Weekly(%),MeanHL_Monthly(%),MeanHL_3Month(%)
TLT,Government Bonds,20+ yr,0.9510363816342546,1.9270025126398977,3.783124651129046,7.0400078091221046,0.9218147657380124,2.7725786120669973,6.042348180076554,10.843043422717209
IEF,Government Bonds,7-10 yr,0.4177757401544458,0.8988813467558183,1.7626163763459175,3.353671248021723,0.38910844882532997,1.2265283816473427,2.691462374755063,4.860584284588535
IEI,Government Bonds,3-7 yr,0.23608703868817882,0.5174353184536578,1.0307613846989996,1.911774742717125,0.22989060213906223,0.7531383221154528,1.7538556442780024,3.4857899110596766
SHY,Government Bonds,1-3 yr,0.08419480232321161,0.17696804057854795,0.37991866261955787,0.7652568561405875,0.07484339592187628,0.2255241881837693,0.4831860757219364,0.8674072965058566
LQD,Corporate Bonds,Investment Grade,0.4823249028200194,1.0111040502583428,1.9970131751462383,3.5062241908933034,0.4567950838797217,1.3014374190943063,2.8403734422085014,5.261769090257586
VCIT,Corporate Bonds,Investment Grade,0.3639203387922094,0.7977348413073824,1.643290411573792,3.006644975710979,0.3766901699310449,1.0454787801826617,2.28851532673688,4.381822794820601
JNK,Corporate Bonds,Junk,0.5269697381335089,1.211699489672994,2.347370082305552,3.7112033945149294,0.4886927584307833,1.4060408028972649,3.1922625097902015,5.818520263402551
HYG,Corporate Bonds,Junk,0.5245743604433623,1.1963709027499385,2.248210416713431,3.505147419992808,0.493183100515976,1.4059089819404416,3.15842347116179,5.672208765650688
EURUSD,FX Major,,0.5352949357179205,1.1293921138220422,2.108571497035052,3.737269115717809,0.7026603249311703,1.7933186940669779,3.8722460875185702,7.20683565925428
USDJPY,FX Major,,0.5815012258140563,1.2442898649547047,2.5270678937819353,4.887987842883517,0.7124117872740452,1.8288636233607654,3.886613131891249,7.259079666192806
GBPUSD,FX Major,,0.5513793371898872,1.2240360803300177,2.22724038971031,3.683346192130675,0.7502190703404877,1.9478425158243033,4.403945003524883,8.605865641745861
AUDUSD,FX Major,,0.6635023273894339,1.3673406668756085,2.6666079216419334,5.131320807116144,0.8937250004915446,2.225778635004177,4.67519283153391,8.430108010951058
USDZAR,FX EM,,1.1620502650903755,2.0071901331011293,3.8125644362641085,6.683547766254799,1.380439414213893,3.309173418285942,6.877475622416232,11.547026151101756
USDBRL,FX EM,,1.0606093703305473,2.0441022975420013,4.050324271531482,7.433424033661396,1.4210605462256352,3.308212783659999,6.645815259934694,11.650523697375323
USDTRY,FX EM,,0.9955992782106531,2.327712430999056,5.6074573386507,10.127354379378021,0.9987714824883328,2.6032854430673433,6.063799531710848,12.041068477726089
SPY,Equity Index,S&P 500,1.0841734263886487,2.185663462406814,4.103907928478216,6.616416684967241,1.1376211809303403,3.056508667324135,6.785625411063082,12.701514890868197
QQQ,Equity Index,Nasdaq 100,1.3005101133706702,2.630062407452492,4.925333286752774,8.110867695723577,1.431043831881224,3.8364504886617414,8.540138709650885,16.10587424842827
DIA,Equity Index,Dow Jones Industrial,1.0411380827425942,2.086418593256123,3.9650685096242357,5.984302419404606,1.0484512336357488,2.905677439254924,6.466386318474602,11.798537656657441
IWV,Equity Index,Russell 3000,1.11429219868472,2.256276177754658,4.293800933657703,7.037829851408429,1.116814639717958,3.1989329246394047,7.392117022420133,14.407241303406106
IWM,Equity Index,Russell 2000,1.4048764542764558,3.0049856234652688,5.884274512041719,10.237020549338343,1.651847827896023,4.333480218490742,9.432599030352918,17.247166789737744
META,Equity - Mega Cap,FAANMG,2.5021361717453754,5.293887093939609,10.837780135788611,17.754794404884144,2.693344139253129,7.330290864940663,16.696887504382126,33.73061795964406
