,V,DIS,NKE,ORCL,CAT,META,AAPL,AMZN,NFLX,MSFT,GOOG,HSY,STZ,ALGN,XEL,PPL,MAR,LVS,LEN,BBY,LUV,WING,FRPT,PEGA,OLED,XPO,TREX,MOS,OLLI,DKS,VIRT,JBLU
V,1.0,0.5628137475979912,0.487362956419282,0.41348762396397026,0.36858577301095224,0.426838554450588,0.5296257207059902,0.44548360427700034,0.35692104709645117,0.5444362623835716,0.4721578959818763,0.2882254856062959,0.48726359854527784,0.44308199356796124,0.3706393839698202,0.4174483093143292,0.575072396601562,0.4133419057622345,0.46090429088401746,0.3945374576857841,0.48089395233962706,0.39758206340968316,0.3307338201080646,0.4676866504788957,0.3924712520830518,0.470563779489128,0.43776985905886734,0.2898113505946381,0.2789300139629706,0.3713774269051622,0.11217043030849742,0.45317536101650147
DIS,0.5628137475979912,1.0,0.47112022589287866,0.36092726525149343,0.41922640545016354,0.35194188968697054,0.3968527751903558,0.4145061141352534,0.35024730727113473,0.42089909192102687,0.37708668037844545,0.21239347485582188,0.3549091525148293,0.4237380706587045,0.250402919281716,0.3740033558394622,0.5370077255013098,0.38970920920393654,0.3677055386018259,0.3984337178710782,0.47239963908311067,0.3238429598091744,0.2884562109309332,0.36080894189388313,0.36638794050081874,0.42721831355277257,0.35564605877751426,0.4071529950882848,0.23654810734799034,0.38494311270213966,0.14940090914453566,0.4764318490102062
NKE,0.487362956419282,0.47112022589287866,1.0,0.27801805439170263,0.3483931922754209,0.29052484283060065,0.40510035921575815,0.33245200916897155,0.27168195347497787,0.39407694876224,0.35112093172916214,0.21521101840022444,0.4327267602674475,0.41078229996508686,0.29775136193671853,0.3473368487132091,0.36624157614586145,0.33393070694646915,0.42898485813194626,0.48128139534448316,0.33945576459040416,0.29801134937022167,0.2938150334735136,0.3236637389642149,0.312545130389368,0.3524063693054254,0.4023632170127657,0.23694285794169687,0.26967161773766324,0.463134140629894,0.07959933709232342,0.3583578091938716
ORCL,0.41348762396397026,0.36092726525149343,0.27801805439170263,1.0,0.3617516682288855,0.33457312593680827,0.3192874085593273,0.37861751357196693,0.36983628891154546,0.531476760202599,0.3771546098021008,0.12699666072927382,0.2146283823203667,0.23938203503643915,0.15733400674260964,0.19276664332998436,0.2985742149570701,0.21440407179413193,0.2159741669449556,0.2356510706294257,0.2045926631930234,0.23336196416411945,0.1838067521380683,0.34098464973869314,0.32014224383001344,0.28510442472065606,0.2481686340085461,0.2204666809620933,0.20427458161361997,0.2604995057372443,0.041098036023988656,0.19925575446188185
CAT,0.36858577301095224,0.41922640545016354,0.3483931922754209,0.3617516682288855,1.0,0.20494897747808136,0.2607417496353608,0.2893588537992879,0.2491745664504749,0.27667349752027676,0.3023871072205577,0.17714973624142366,0.3446101470886856,0.37492738156249017,0.15131996396533767,0.28634636662983337,0.4691823850617285,0.398510926193632,0.3351727672088546,0.36513455000985845,0.45285606762968317,0.19296585573834407,0.2544018751125465,0.2714214958526423,0.3479025239473164,0.47841626823530686,0.3298632346529685,0.5178273499119366,0.21913050373102916,0.3312070461002194,0.15878744376038964,0.3999756713429006
META,0.426838554450588,0.35194188968697054,0.29052484283060065,0.33457312593680827,0.20494897747808136,1.0,0.407740414235863,0.5167037689949172,0.3995740140200925,0.5596666656861593,0.5193401921764191,0.08342444346760648,0.24629753401105556,0.41679740927481745,0.1150577164465393,0.17483628277080873,0.34294358871571484,0.36357759129550865,0.2942491924164744,0.3030909692848658,0.23822941409625675,0.28414738431804376,0.185911110274541,0.3809981766122016,0.31892211545988014,0.30642107116580614,0.29078319279186277,0.16792247669852897,0.2271458406031184,0.25621810161552316,0.03687918157977705,0.26748679287809823
AAPL,0.5296257207059902,0.3968527751903558,0.40510035921575815,0.3192874085593273,0.2607417496353608,0.407740414235863,1.0,0.46904055326439775,0.38878360594284783,0.5643947364009563,0.5479641912977785,0.2706672433229355,0.3518322331409015,0.41347221685858676,0.27237533634477024,0.309588848254404,0.38909638888878406,0.32702453078559063,0.41156872479560147,0.4312538478021092,0.2831551895732976,0.34868442162718877,0.26562463590472424,0.3729628365141785,0.4551534347878504,0.3678352560897905,0.3651864397296591,0.19123069616120894,0.24130172031479574,0.29200423598584296,0.06359221636515815,0.3065558813071859
AMZN,0.44548360427700034,0.4145061141352534,0.33245200916897155,0.37861751357196693,0.2893588537992879,0.5167037689949172,0.46904055326439775,1.0,0.5464440317584202,0.6453685016862205,0.6041069147375585,0.04397067032128865,0.2684224011855027,0.4096958302935445,0.09558064532191012,0.12008229535903552,0.35007296103763685,0.3227020389810996,0.27030253881342986,0.32863535825008133,0.20911207018537828,0.3204294747125877,0.31125458226751207,0.42504263563741157,0.34527529163122683,0.32112428933653275,0.365392556770843,0.17146064107522527,0.24767538177271498,0.22650358381047253,0.10130017002658401,0.21962785848359948
NFLX,0.35692104709645117,0.35024730727113473,0.27168195347497787,0.36983628891154546,0.2491745664504749,0.3995740140200925,0.38878360594284783,0.5464440317584202,1.0,0.48661644153440664,0.4311139484889946,0.04763081557689069,0.19900833918290076,0.24786876250643325,0.045667910617834,0.10409989057692674,0.2654825920929846,0.23139448470394314,0.18742491915336865,0.2611997160298305,0.1480965775597681,0.2689119315744917,0.23715702925373783,0.3404121709468577,0.2975202857804729,0.2304578278048587,0.2578403869375662,0.1663628803235177,0.2025202728941406,0.15607994110412,0.1006676668054639,0.19050733161620592
MSFT,0.5444362623835716,0.42089909192102687,0.39407694876224,0.531476760202599,0.27667349752027676,0.5596666656861593,0.5643947364009563,0.6453685016862205,0.48661644153440664,1.0,0.6381289053202728,0.2273725205546641,0.342668243701802,0.40017794561163045,0.2541526499539721,0.2533859030656523,0.3750946366904086,0.2869465177429638,0.3395020675519983,0.35177146735038106,0.21664045023758333,0.3971377033060224,0.29322152838591153,0.44617191600847034,0.41723592323509706,0.34934441010787864,0.3642235009344279,0.19139481521853502,0.2518436702108062,0.25572606293819644,0.07529673055822204,0.2631564034181275
GOOG,0.4721578959818763,0.37708668037844545,0.35112093172916214,0.3771546098021008,0.3023871072205577,0.5193401921764191,0.5479641912977785,0.6041069147375585,0.4311139484889946,0.6381289053202728,1.0,0.16652264732441666,0.30007758906847043,0.43572283542892276,0.15995097531350505,0.1972233425639754,0.37711893481442527,0.3451776162772337,0.3358246332013979,0.3234252934942382,0.23627398714787257,0.26688026316838753,0.23875210886614734,0.3658061351153796,0.3602893261782406,0.37185322800238757,0.3337755247524766,0.20265941178256122,0.2527766041374488,0.286307944454853,0.024527912167827175,0.2497946100131023
HSY,0.2882254856062959,0.21239347485582188,0.21521101840022444,0.12699666072927382,0.17714973624142366,0.08342444346760648,0.2706672433229355,0.04397067032128865,0.04763081557689069,0.2273725205546641,0.16652264732441666,1.0,0.4086909228698336,0.15039111774285835,0.4523174363568017,0.383637957208265,0.15677893894102055,0.10883632460426866,0.2926619173333168,0.2313453168540951,0.15958454268243769,0.18761159053489262,0.1626913382511007,0.07552688200982967,0.16001244036253548,0.16603778339086797,0.16571156363357087,0.11091826758536946,0.12503039171336788,0.2028015325928539,0.07706711105949614,0.210374903568475
