,V,DIS,NKE,ORCL,CAT,META,AAPL,AMZN,NFLX,MSFT,GOOG,HSY,STZ,ALGN,XEL,PPL,MAR,LVS,LEN,BBY,LUV,WING,FRPT,PEGA,OLED,XPO,TREX,MOS,OLLI,DKS,VIRT,JBLU
V,0.0009131167599045532,0.0006364697701028597,0.0006330526198147934,0.0005208963696610703,0.0004672839324649561,0.000636068560941474,0.000617790156747231,0.0005595262203560672,0.0006278125379892713,0.0005338197025569542,0.0005382774979321158,0.00026255261250410564,0.000566206450805683,0.0008930681588449083,0.00033504208777968567,0.0004442089563375057,0.0007908638628236264,0.0006362011977011605,0.0006961336543063493,0.0006116862135588652,0.0007406085004243903,0.0007619316509194534,0.0006486169720824579,0.0008436565477359711,0.0007389628673583606,0.0010030984634471563,0.0008450696801286072,0.0005234315238952106,0.0004802949973857832,0.0007173295862595685,0.00017498687223512662,0.000954326000966809
DIS,0.0006364697701028597,0.001400553985455142,0.0007578893661239653,0.0005631126401568143,0.0006582300108189747,0.0006495282147605152,0.0005733081397333107,0.0006447723854917323,0.0007629909753565621,0.0005111075703957869,0.000532410890304762,0.00023961384296670882,0.0005107575719451457,0.0010577542013405544,0.00028033282811731246,0.0004928864431762922,0.0009146322551007681,0.0007428694238148556,0.000687810529547228,0.0007650385228937267,0.0009010226404291031,0.0007686178415021082,0.0007006100543788897,0.0008060737336016431,0.0008543635376213731,0.001127876897136036,0.0008502593835802992,0.0009107284162805262,0.0005044510866916307,0.0009208450636414348,0.000288647029614678,0.0012425618710503448
NKE,0.0006330526198147934,0.0007578893661239653,0.0018477715427706422,0.000498221878919653,0.0006283084787710043,0.000615863611934915,0.000672195382394745,0.0005939893528497876,0.0006797975541085992,0.0005496542205593066,0.0005694251809904003,0.0002788749126081606,0.0007152956403464852,0.001177804492851657,0.0003828798733732187,0.0005257707773299083,0.0007164862066766009,0.0007311430933382234,0.0009216898863370369,0.0010614523535156441,0.0007436756217468666,0.0008124245067059704,0.0008196806722645911,0.0008305499083748713,0.0008371214722968417,0.0010686359963174776,0.0011049074844318037,0.0006087641744418615,0.0006605550773972805,0.001272538755398861,0.00017664343996350216,0.001073515501672802
ORCL,0.0005208963696610703,0.0005631126401568143,0.000498221878919653,0.0017380061809444602,0.0006327254799790381,0.0006878501636813019,0.0005138261579741252,0.0006560726276270032,0.0008974904790436098,0.0007189427943062695,0.0005931996548425553,0.0001596021610167169,0.0003440808466858112,0.0006656632181928538,0.00019621531633614328,0.00028299514862404766,0.0005664922984496184,0.00045528209912772154,0.0004500348928436067,0.0005040485491332157,0.0004347022957302528,0.0006169952265852727,0.0004973174105439033,0.0008486097898131365,0.0008316110487083627,0.0008384777227968082,0.0006609308975565577,0.0005493510375577437,0.0004852769299977977,0.0006941808768526879,8.845261000152753e-05,0.0005789003883520456
CAT,0.0004672839324649561,0.0006582300108189747,0.0006283084787710043,0.0006327254799790381,0.0017601847181233842,0.00042403529947700723,0.00042227800179091355,0.000504593276940285,0.0006085237088852926,0.00037664402415296693,0.0004786281135207256,0.0002240476745030594,0.000555974498649349,0.0010492129183937969,0.00018991531845936007,0.0004230505335219761,0.0008958532514070143,0.0008516109638875137,0.000702856344930151,0.0007859761096728387,0.0009683124905235861,0.0005134352324807713,0.000692701256365783,0.0006797839608453767,0.0009094698586506603,0.001415946925813993,0.0008840901315535829,0.0012985104066244677,0.0005238797573340489,0.0008882163723317206,0.0003439214046490228,0.00116944555937099
META,0.000636068560941474,0.0006495282147605152,0.000615863611934915,0.0006878501636813019,0.00042403529947700723,0.0024319478919322037,0.0007761928748743746,0.0010591179373782016,0.0011470148440668932,0.0008955523365988148,0.0009662397013526628,0.00012401986611593557,0.00046707313021946843,0.0013710064272682658,0.00016973739270249874,0.0003036198379402458,0.0007696900518473156,0.000913263558468993,0.0007252890719207774,0.0007668800195171792,0.0005987544237838995,0.0008886829939826898,0.0005950165169476936,0.001121624741269365,0.000979971344694845,0.0010660011465186798,0.000916072697911087,0.0004949567946078997,0.0006383098978313244,0.0008076571189555394,9.389064722322241e-05,0.0009192778297186041
AAPL,0.000617790156747231,0.0005733081397333107,0.000672195382394745,0.0005138261579741252,0.00042227800179091355,0.0007761928748743746,0.0014901072188554356,0.0007525662088800883,0.0008735974789411975,0.0007069295116537669,0.000798025463819728,0.0003149671542136532,0.0005222663825159264,0.001064614652634231,0.0003145293538118074,0.00042083854946701663,0.0006835684537865504,0.000643000007992518,0.0007940902180476387,0.0008541202840722859,0.000557069658651335,0.0008536254962759695,0.0006654626048563016,0.0008594524801653437,0.001094758161711535,0.0010016685195838395,0.0009005480880658481,0.00044121238237362876,0.0005307852368704402,0.0007205066518914872,0.00012672918632826864,0.0008246804930197251
AMZN,0.0005595262203560672,0.0006447723854917323,0.0005939893528497876,0.0006560726276270032,0.000504593276940285,0.0010591179373782016,0.0007525662088800883,0.0017276315342889806,0.0013221049081339413,0.0008703976793295891,0.000947316668825643,5.509465337546541e-05,0.0004290342919897797,0.0011358590757997006,0.00011884479435324983,0.00017576240611746514,0.000662216780954951,0.0006832020464459077,0.0005615577274037098,0.0007008371947600816,0.00044297669914009974,0.0008446642113950489,0.000839629829443759,0.0010546433240928251,0.0008942164809494395,0.0009415873823888715,0.0009702167409608852,0.0004259624646677948,0.0005866216132565645,0.0006017841195170868,0.00021737002789587207,0.0006361804196272904
NFLX,0.0006278125379892713,0.0007629909753565621,0.0006797975541085992,0.0008974904790436098,0.0006085237088852926,0.0011470148440668932,0.0008735974789411975,0.0013221049081339413,0.0033883583791364785,0.0009191065176376634,0.0009467657852587435,8.35802170403367e-05,0.00044546504599583375,0.0009623960128277192,7.952257884986568e-05,0.00021338622942100778,0.0007033099653761544,0.0006860717868554715,0.0005453065610582257,0.0007800899145671954,0.0004393553421456915,0.0009927292443272268,0.0008959364692249473,0.00118289800459151,0.001079102899823999,0.0009463418494680672,0.0009588024164711545,0.0005788052036527573,0.0006717579744839572,0.0005807401406879401,0.00030251617303626047,0.0007728116729629754
MSFT,0.0005338197025569542,0.0005111075703957869,0.0005496542205593066,0.0007189427943062695,0.00037664402415296693,0.0008955523365988148,0.0007069295116537669,0.0008703976793295891,0.0009191065176376634,0.0010528555627917053,0.0007811755222235218,0.00022240430100021585,0.00042756873842062144,0.0008661136750018603,0.00024669689544513213,0.0002895264829834491,0.0005539126774541347,0.00047424989622415716,0.000550611836499426,0.0005856286322312659,0.0003582615227434434,0.0008172437204685296,0.0006174855449211321,0.0008642396340268846,0.0008435633429639995,0.0007996503086674176,0.0007549807336319826,0.0003711896803188659,0.0004656558844088338,0.0005303950645588205,0.0001261317562233074,0.0005950667034456415
