Asset,Class,Notes,Std_日(%),HL_日(%),TR_日(%),Std_周(%),HL_周(%),TR_周(%),Std_月(%),HL_月(%),TR_月(%),Std_三月(%),HL_三月(%),TR_三月(%)
TLT,Government Bonds,20+ yr,0.9504914460828571,0.9197687716272953,1.142316411265807,1.92448779502022,2.765526022292972,2.8120277941223475,3.6823380974037985,6.0637609562225405,5.918418284357709,6.308732782568821,10.870742110832845,10.270884344713572
IEF,Government Bonds,7-10 yr,0.4193888716982273,0.3881839795967614,0.4969591549634169,0.8977611570109215,1.223029758858978,1.2571297086271147,1.7097058003049848,2.668838533198876,2.653157388465622,2.944803258199202,4.708967546029717,4.585176465769184
IEI,Government Bonds,3-7 yr,0.23815056522251687,0.22932100627680718,0.29182959994519136,0.5157181377522887,0.7509252279163724,0.7716735919030042,0.9719279073889496,1.7484849718144253,1.7472877598933099,1.7547550335630664,3.352920150096861,2.5467613038717984
SHY,Government Bonds,1-3 yr,0.08990845121134787,0.07469437741520478,0.09505496536705846,0.17888747578126038,0.22525072877516025,0.23333543513612864,0.3391860304634721,0.4758056694190435,0.47735464489058516,0.6712588405582992,0.8332484123877067,0.8263407676848071
LQD,Corporate Bonds,Investment Grade,0.48547152163804447,0.4558149334863816,0.5412263388309277,1.0111906423044963,1.2986863733884242,1.3212809469201408,2.177126099411921,2.9318273602556206,2.8796573074570877,3.228844865182793,5.252464256267779,5.036983195704675
VCIT,Corporate Bonds,Investment Grade,0.36797736841557926,0.3756944941814248,0.439830475378904,0.7988954334467231,1.0426269063835765,1.0614333853935063,1.618345004262412,2.307911157183005,2.2525581912453148,2.666955990448689,4.203786313230876,4.079015448831728
JNK,Corporate Bonds,Junk,0.5374907883141776,0.48684575642706307,0.5653848508177741,1.2218350207970703,1.4009484230847171,1.416977877393433,2.247312411479713,3.213558532205808,3.096428602245704,3.4526744321770173,5.715359835061871,5.2360140706620575
HYG,Corporate Bonds,Junk,0.5323355196826678,0.49130808726849395,0.5655590331514024,1.2027446103439634,1.4006841591514991,1.4181724811718817,2.1094183725258544,3.158236181551056,3.0489058556818316,3.1466496729153235,5.5175799155380245,5.067719487405682
EURUSD,FX Major,,0.5347951601612803,0.7014187429907912,0.8638552029886115,1.1769557222389384,1.8037768247621329,1.841874262737323,2.2294051407380446,3.8715435589792673,3.693774399848716,3.7220329152590352,7.414926426877309,6.664759909647289
USDJPY,FX Major,,0.5819689648551224,0.7119875527624523,0.9033850466960821,1.273463331066508,1.8509504822710208,1.9277460245317926,2.583546684650197,3.9281487494078338,3.8982045006619725,4.868213437003385,7.056239358849065,6.9133465602214335
